failure_event_id,asset_id,pm_event_id_context,failure_date,ticket_open_date,ticket_close_date,failure_category,severity,priority,description,downtime_hours,labor_hours,labor_cost,material_cost,other_costs,total_cost,root_cause,region,environment_type,model
FAIL_000001,GEN_0001,PM_000003,2024-03-16,2024-03-16,2024-03-16,Cooling,Low,Normal,Cooling issue observed after PM cycle,8.64,3.45,264.65,800.64,84.14,884.78,Overdue maintenance,South,Hot-Dry,GENX-550
FAIL_000002,GEN_0001,PM_000003,2024-04-24,2024-04-24,2024-04-24,Battery,High,High,Battery issue observed after PM cycle,11.02,6.94,489.86,1750.01,140.96,1890.97,Electrical instability,South,Hot-Dry,GENX-550
FAIL_000003,GEN_0001,PM_000004,2024-09-30,2024-09-30,2024-09-30,Cooling,Medium,Normal,Cooling issue observed after PM cycle,7.18,3.45,270.51,702.94,163.67,866.61,Overdue maintenance,South,Hot-Dry,GENX-550
FAIL_000004,GEN_0001,PM_000004,2024-11-17,2024-11-17,2024-11-17,Battery,Medium,Normal,Battery issue observed after PM cycle,3.67,4.38,348.98,1528.84,159.03,1687.87,Heat stress,South,Hot-Dry,GENX-550
FAIL_000005,GEN_0001,PM_000004,2024-11-27,2024-11-27,2024-11-27,Fuel,Low,Normal,Fuel issue observed after PM cycle,4.94,3.33,218.48,1659.51,157.13,1816.64,Overdue maintenance,South,Hot-Dry,GENX-550
FAIL_000006,GEN_0002,PM_000007,2023-02-13,2023-02-13,2023-02-13,Cooling,High,High,Cooling issue observed after PM cycle,6.53,3.77,280.33,1305.36,216.53,1521.89,Overdue maintenance,North,Cold,GENX-550
FAIL_000007,GEN_0002,PM_000008,2023-08-11,2023-08-11,2023-08-11,Alternator,Low,Normal,Alternator issue observed after PM cycle,8.55,4.01,313.03,870.7,188.16,1058.86,Overdue maintenance,North,Cold,GENX-550
FAIL_000008,GEN_0002,PM_000011,2024-07-09,2024-07-09,2024-07-09,Fuel,Medium,Normal,Fuel issue observed after PM cycle,6.01,4.0,331.42,937.22,125.93,1063.15,Electrical instability,North,Cold,GENX-550
FAIL_000009,GEN_0002,PM_000012,2024-12-04,2024-12-04,2024-12-04,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,10.15,1.77,171.21,1146.93,215.95,1362.88,Wear and tear,North,Cold,GENX-550
FAIL_000010,GEN_0002,PM_000012,2024-12-18,2024-12-18,2024-12-18,Control Panel,Low,Normal,Control Panel issue observed after PM cycle,6.53,2.65,206.05,935.41,175.96,1111.37,Heat stress,North,Cold,GENX-550
FAIL_000011,GEN_0002,PM_000012,2024-12-26,2024-12-26,2024-12-26,Battery,Medium,Normal,Battery issue observed after PM cycle,7.99,2.56,175.41,1687.85,103.92,1791.77,Heat stress,North,Cold,GENX-550
FAIL_000012,GEN_0002,PM_000014,2025-06-16,2025-06-16,2025-06-16,Cooling,High,High,Cooling issue observed after PM cycle,9.39,5.44,453.06,1189.13,167.02,1356.15,Corrosion,North,Cold,GENX-550
FAIL_000013,GEN_0003,PM_000016,2023-07-16,2023-07-16,2023-07-16,Cooling,Low,Normal,Cooling issue observed after PM cycle,3.18,3.2,276.55,1399.76,163.15,1562.91,Overdue maintenance,East,Hot-Dry,CUM-500
FAIL_000014,GEN_0003,PM_000017,2023-10-26,2023-10-26,2023-10-26,Alternator,Medium,Normal,Alternator issue observed after PM cycle,8.33,4.35,333.49,959.27,190.96,1150.23,Wear and tear,East,Hot-Dry,CUM-500
FAIL_000015,GEN_0003,PM_000020,2024-09-13,2024-09-13,2024-09-13,Cooling,Critical,High,Cooling issue observed after PM cycle,7.11,5.1,337.54,1337.55,174.58,1512.13,Heat stress,East,Hot-Dry,CUM-500
FAIL_000016,GEN_0003,PM_000020,2024-11-15,2024-11-15,2024-11-15,Battery,Medium,Normal,Battery issue observed after PM cycle,6.45,2.38,238.68,1278.49,243.4,1521.89,Electrical instability,East,Hot-Dry,CUM-500
FAIL_000017,GEN_0003,PM_000023,2025-09-04,2025-09-04,2025-09-04,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,5.78,3.91,313.96,550.53,114.36,664.89,Electrical instability,East,Hot-Dry,CUM-500
FAIL_000018,GEN_0003,PM_000023,2025-10-03,2025-10-03,2025-10-03,Oil,Low,Normal,Oil issue observed after PM cycle,3.52,1.93,207.25,770.81,239.68,1010.49,Heat stress,East,Hot-Dry,CUM-500
FAIL_000019,GEN_0004,PM_000026,2023-08-09,2023-08-09,2023-08-09,Fuel,Low,Normal,Fuel issue observed after PM cycle,2.2,4.09,386.92,835.82,107.26,943.08,Electrical instability,North,Urban,CUM-500
FAIL_000020,GEN_0004,PM_000031,2024-12-01,2024-12-01,2024-12-01,Oil,Medium,Normal,Oil issue observed after PM cycle,8.53,5.8,444.51,775.7,167.93,943.63,Overdue maintenance,North,Urban,CUM-500
FAIL_000021,GEN_0004,PM_000033,2025-07-01,2025-07-01,2025-07-01,Oil,Medium,Normal,Oil issue observed after PM cycle,8.24,3.29,313.9,638.71,150.44,789.15,Heat stress,North,Urban,CUM-500
FAIL_000022,GEN_0005,PM_000038,2023-09-17,2023-09-17,2023-09-17,Cooling,Critical,High,Cooling issue observed after PM cycle,9.73,3.57,388.56,1331.15,127.02,1458.17,Heat stress,East,Coastal,CAT-450
