asset_id,asset_name,asset_type,manufacturer,model,install_date,location,region,criticality,environment_type,service_interval_days,base_runtime_hours_per_week,base_load_pct
GEN_0001,Generator 0001,Generator,Generix,GENX-550,2019-04-30,Site_258,South,Medium,Hot-Dry,180,73.05,40.59
GEN_0002,Generator 0002,Generator,Generix,GENX-550,2023-05-24,Site_136,North,High,Cold,120,72.07,73.33
GEN_0003,Generator 0003,Generator,Cummins,CUM-500,2015-12-03,Site_167,East,High,Hot-Dry,120,42.66,74.54
GEN_0004,Generator 0004,Generator,Cummins,CUM-500,2019-06-15,Site_268,North,Low,Urban,90,51.15,59.77
GEN_0005,Generator 0005,Generator,Caterpillar,CAT-450,2024-03-21,Site_224,East,Medium,Coastal,90,51.5,57.85
GEN_0006,Generator 0006,Generator,Caterpillar,CAT-450,2021-11-10,Site_143,East,High,Cold,90,44.81,71.81
GEN_0007,Generator 0007,Generator,Generix,GENX-550,2022-09-03,Site_250,West,High,Hot-Dry,90,61.71,65.4
GEN_0008,Generator 0008,Generator,Caterpillar,CAT-450,2023-01-16,Site_003,West,High,Hot-Dry,120,62.63,71.58
GEN_0009,Generator 0009,Generator,Cummins,CUM-500,2015-05-17,Site_042,Central,Medium,Coastal,90,81.92,53.61
GEN_0010,Generator 0010,Generator,Generix,GENX-550,2020-08-25,Site_167,West,Medium,Coastal,90,69.38,73.52
GEN_0011,Generator 0011,Generator,Caterpillar,CAT-450,2024-12-02,Site_257,Central,Medium,Rural,90,39.87,52.97
GEN_0012,Generator 0012,Generator,Kohler,KOH-400,2020-01-18,Site_236,West,Medium,Urban,120,68.01,60.29
GEN_0013,Generator 0013,Generator,Caterpillar,CAT-450,2022-09-17,Site_217,Central,High,Urban,90,65.79,58.37
GEN_0014,Generator 0014,Generator,Generix,GENX-550,2016-08-29,Site_115,Central,Medium,Urban,90,51.23,63.04
GEN_0015,Generator 0015,Generator,Caterpillar,CAT-450,2018-08-29,Site_273,West,Low,Hot-Dry,180,43.51,59.46
GEN_0016,Generator 0016,Generator,Generix,GENX-550,2022-05-13,Site_082,South,Medium,Rural,90,42.8,59.93
GEN_0017,Generator 0017,Generator,Cummins,CUM-500,2020-06-19,Site_054,South,Medium,Coastal,120,34.86,64.87
GEN_0018,Generator 0018,Generator,Kohler,KOH-400,2015-12-12,Site_195,East,Medium,Coastal,90,41.62,66.15
GEN_0019,Generator 0019,Generator,Cummins,CUM-500,2021-10-09,Site_032,Central,High,Coastal,180,38.98,56.32
GEN_0020,Generator 0020,Generator,Cummins,CUM-500,2017-12-11,Site_007,East,Medium,Urban,120,34.47,51.81
GEN_0021,Generator 0021,Generator,Kohler,KOH-400,2019-05-30,Site_282,Central,Medium,Rural,90,42.17,38.42
GEN_0022,Generator 0022,Generator,Kohler,KOH-400,2017-11-04,Site_007,West,Medium,Coastal,90,75.06,65.88
GEN_0023,Generator 0023,Generator,Caterpillar,CAT-450,2016-03-09,Site_085,West,Medium,Urban,120,62.49,85.22
GEN_0024,Generator 0024,Generator,MTU,MTU-480,2017-05-13,Site_012,North,High,Cold,120,46.4,89.54
GEN_0025,Generator 0025,Generator,Cummins,CUM-500,2021-05-06,Site_088,East,Low,Urban,180,55.49,63.51
GEN_0026,Generator 0026,Generator,Caterpillar,CAT-450,2024-09-08,Site_298,West,Medium,Cold,120,60.76,82.95
GEN_0027,Generator 0027,Generator,Kohler,KOH-400,2015-03-22,Site_232,South,High,Hot-Dry,90,51.43,77.28
GEN_0028,Generator 0028,Generator,Cummins,CUM-500,2024-06-21,Site_073,South,Low,Urban,90,84.41,84.68
GEN_0029,Generator 0029,Generator,Kohler,KOH-400,2015-06-13,Site_059,North,Low,Coastal,180,43.68,71.72
GEN_0030,Generator 0030,Generator,Caterpillar,CAT-450,2016-09-28,Site_069,West,High,Coastal,90,59.45,71.73
GEN_0031,Generator 0031,Generator,Generix,GENX-550,2019-03-03,Site_060,Central,Medium,Urban,120,52.65,74.99
GEN_0032,Generator 0032,Generator,Caterpillar,CAT-450,2015-10-23,Site_120,West,Low,Cold,120,52.76,76.03
GEN_0033,Generator 0033,Generator,Cummins,CUM-500,2019-12-27,Site_008,South,Low,Urban,90,61.88,66.12
GEN_0034,Generator 0034,Generator,Cummins,CUM-500,2016-08-28,Site_179,South,Low,Hot-Dry,90,44.35,60.55
GEN_0035,Generator 0035,Generator,Caterpillar,CAT-450,2017-11-16,Site_249,South,High,Hot-Dry,90,47.53,38.23
GEN_0036,Generator 0036,Generator,MTU,MTU-480,2017-11-23,Site_124,West,Medium,Coastal,120,43.97,62.87
GEN_0037,Generator 0037,Generator,Cummins,CUM-500,2024-12-09,Site_224,North,High,Coastal,90,87.39,95.0
GEN_0038,Generator 0038,Generator,Caterpillar,CAT-450,2018-03-09,Site_094,East,Low,Rural,90,54.08,73.33
GEN_0039,Generator 0039,Generator,Caterpillar,CAT-450,2020-05-26,Site_007,North,High,Coastal,90,53.74,66.79
GEN_0040,Generator 0040,Generator,Generix,GENX-550,2023-04-11,Site_096,North,Medium,Urban,120,58.85,64.0
